Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,84.0,730.0,1208.0,5.0
Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,68.0,19.0,1008.0,1.0
Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,81.0,314.0,1118.0,1.0
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,31.0,8713.0,718.0,5.0
Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,60.0,1454.0,1499.0,5.0
Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,50.0,922.0,1499.0,5.0
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,45.0,2256.0,1499.0,5.0
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100.0,60.0,2698.0,717.0,5.0
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,29.0,5234.0,718.0,5.0
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,82.0,664.0,357.0,5.0
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81.0,86.0,1662.0,567.0,7.0
Mario Kart 7,3DS,2011.0,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73.0,79.0,632.0,1199.0,1.0
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,61.0,1094.0,1499.0,5.0
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66.0,80.0,2899.0,1208.0,5.0
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,84.0,242.0,1008.0,1.0
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,75.0,4100.0,254.0,5.0
Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,82.0,272.0,1118.0,1.0
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,86.0,2147.0,1008.0,1.0
Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86.0,76.0,2951.0,1208.0,5.0
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,84.0,138.0,1118.0,1.0
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,81.0,921.0,1008.0,1.0
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,72.0,1112.0,1118.0,1.0
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,60.0,2073.0,717.0,5.0
Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64.0,72.0,2833.0,1208.0,5.0
Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Super Mario 64,DS,2004.0,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,23.0,2117.0,717.0,5.0
Just Dance 3,Wii,2011.0,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,75.0,16.0,1524.0,2.0
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,69.0,424.0,1008.0,1.0
Mario Kart 64,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,76.0,2045.0,252.0,5.0
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,89.0,1282.0,1356.0,7.0
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,67.0,3260.0,18.0,5.0
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,87.0,135.0,1118.0,7.0
Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,70.0,24.0,1524.0,2.0
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,23.0,1047.0,717.0,5.0
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,81.0,1320.0,717.0,5.0
Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,84.0,626.0,1008.0,1.0
Mario Party DS,DS,2007.0,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,75.0,85.0,671.0,1.0
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,81.0,3589.0,173.0,5.0
Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,40.0,896.0,442.0,1.0
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,79.0,1218.0,253.0,5.0
Wii Party,Wii,2010.0,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,71.0,54.0,982.0,1.0
Mario Party 8,Wii,2007.0,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,60.0,190.0,669.0,1.0
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,63.0,348.0,469.0,1.0
GoldenEye 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,84.0,1056.0,1356.0,7.0
The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,73.0,886.0,1470.0,7.0
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.57,3.86,0.66,0.91,7.99,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,83.0,644.0,1356.0,7.0
Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,82.0,203.0,571.0,1.0
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,73.0,451.0,1206.0,5.0
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,54.0,1443.0,1312.0,5.0
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,47.0,398.0,445.0,1.0
Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,88.0,1854.0,1009.0,1.0
Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,73.0,580.0,1499.0,5.0
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,71.0,2142.0,430.0,5.0
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,83.0,171.0,422.0,1.0
Just Dance,Wii,2009.0,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,77.0,110.0,1535.0,2.0
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,72.0,1761.0,430.0,5.0
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,62.0,4228.0,173.0,5.0
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,88.0,367.0,967.0,7.0
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,87.0,1658.0,1008.0,7.0
Pokemon Sun/Moon,3DS,2016.0,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,86.0,432.0,977.0,1.0
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,88.0,1599.0,1008.0,1.0
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,88.0,568.0,628.0,7.0
Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,83.0,132.0,424.0,1.0
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,82.0,135.0,434.0,7.0
Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,70.0,28.0,1524.0,2.0
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,74.0,2739.0,485.0,5.0
Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,80.0,3712.0,977.0,7.0
Zumba Fitness,Wii,2010.0,Sports,505 Games,3.45,2.59,0.0,0.66,6.71,68.9971185166625,26.440992232523175,95.0,163.0088459991958,1098.0,1.0
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94.0,44.0,81.0,993.0,717.0,5.0
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,105.0,85.0,5187.0,977.0,7.0
FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Big Brain Academy,DS,2005.0,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45.0,71.0,27.0,1008.0,1.0
The Legend of Zelda,NES,1986.0,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,73.0,85.0,2456.0,1209.0,5.0
FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37.0,40.0,576.0,424.0,1.0
Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,66.0,1307.0,1524.0,5.0
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77.0,83.0,368.0,1198.0,1.0
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,83.0,1283.0,253.0,5.0
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,16.0,61.0,2527.0,173.0,5.0
Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,87.0,222.0,571.0,1.0
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,85.0,597.0,1356.0,1.0
Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94.0,68.0,1163.0,254.0,5.0
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,96.0,87.0,2316.0,1209.0,5.0
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,83.0,439.0,1008.0,1.0
Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
World of Warcraft,PC,2004.0,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,93.0,57.0,70.0,2182.0,214.0,7.0
Driver,PS,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22.0,78.0,78.0,1190.0,7.0
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,75.0,1504.0,485.0,5.0
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,71.0,95.0,1160.0,2.0
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88.0,80.0,2295.0,485.0,5.0
FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,47.0,54.0,988.0,442.0,1.0
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42.0,84.0,1026.0,774.0,5.0
Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,4.47,1.2,0.16,0.19,6.03,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20.0,91.0,918.0,774.0,5.0
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,84.0,3558.0,801.0,5.0
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64.0,73.0,972.0,1351.0,7.0
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,98.0,88.0,8003.0,977.0,5.0
LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,85.0,65.0,5311.0,1232.0,1.0
Resident Evil 2,PS,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,13.0,89.0,364.0,264.0,5.0
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65.0,85.0,197.0,832.0,2.0
Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.0,86.0,102.0,967.0,7.0
Destiny,PS4,2014.0,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.0,95.0,58.0,5380.0,254.0,7.0
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,80.0,17.0,86.0,62.0,1496.0,2.0
Cooking Mama,DS,2006.0,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,35.0,69.0,21.0,1421.0,1.0
Tetris,NES,1988.0,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Super Smash Bros.,N64,1999.0,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,83.0,1202.0,1532.0,5.0
Assassin's Creed,X360,2007.0,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,74.0,1074.0,1532.0,5.0
Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,90.0,77.0,516.0,1513.0,1.0
Super Mario Advance,GBA,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19.0,75.0,41.0,1008.0,1.0
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48.0,84.0,124.0,264.0,7.0
