Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
3663.0,16.0,2004.0,6.0,457.0,3.01,0.01,1.1,7.53,11.66,89.0,74.0,82.0,272.0,1118.0,1.0
9269.0,26.0,2007.0,4.0,361.0,6.06,3.35,1.2,0.74,11.35,97.0,73.0,86.0,2147.0,1008.0,1.0
9273.0,5.0,1992.0,1.0,361.0,6.16,2.04,2.69,0.29,11.18,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
3680.0,28.0,2008.0,0.0,496.0,6.76,3.07,0.14,1.03,11.01,98.0,86.0,76.0,2951.0,1208.0,5.0
3659.0,15.0,1997.0,6.0,457.0,4.02,3.87,2.54,0.52,10.95,96.0,16.0,84.0,138.0,1118.0,1.0
9259.0,2.0,2011.0,4.0,361.0,4.89,3.0,2.14,0.78,10.81,90.0,82.0,81.0,921.0,1008.0,1.0
3665.0,17.0,2010.0,6.0,457.0,2.96,4.82,0.81,2.11,10.7,84.0,82.0,72.0,1112.0,1118.0,1.0
1230.0,17.0,2009.0,8.0,21.0,4.99,3.64,0.38,1.6,10.6,94.0,67.0,60.0,2073.0,717.0,5.0
9263.0,23.0,1993.0,4.0,361.0,5.99,2.15,2.12,0.29,10.55,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
3680.0,17.0,2008.0,0.0,496.0,4.76,3.69,0.44,1.61,10.5,98.0,64.0,72.0,2833.0,1208.0,5.0
7280.0,6.0,2004.0,7.0,361.0,4.34,2.65,3.15,0.35,10.49,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
9261.0,4.0,2004.0,4.0,361.0,5.01,3.07,1.25,0.97,10.3,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
1228.0,28.0,2013.0,8.0,21.0,6.73,2.56,0.04,0.91,10.25,73.0,29.0,23.0,2117.0,717.0,5.0
4664.0,26.0,2011.0,3.0,527.0,5.95,3.11,0.0,1.06,10.12,74.0,15.0,75.0,16.0,1524.0,2.0
6678.0,2.0,2012.0,4.0,361.0,3.66,3.14,2.47,0.63,9.9,78.0,70.0,69.0,424.0,1008.0,1.0
5530.0,10.0,1996.0,6.0,361.0,5.55,1.94,2.23,0.15,9.87,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
3867.0,28.0,2010.0,8.0,325.0,7.04,1.95,0.08,0.79,9.86,91.0,99.0,76.0,2045.0,252.0,5.0
3141.0,15.0,1997.0,7.0,457.0,3.01,2.47,3.28,0.96,9.72,92.0,20.0,89.0,1282.0,1356.0,7.0
3861.0,28.0,2012.0,8.0,325.0,6.65,2.28,0.04,0.74,9.71,87.0,87.0,67.0,3260.0,18.0,5.0
3661.0,15.0,1999.0,6.0,457.0,3.88,3.42,1.69,0.5,9.49,93.0,23.0,87.0,135.0,1118.0,7.0
4658.0,26.0,2010.0,3.0,527.0,5.8,2.85,0.01,0.78,9.44,74.0,24.0,70.0,24.0,1524.0,2.0
1228.0,17.0,2013.0,8.0,21.0,4.1,3.63,0.38,1.25,9.36,71.0,10.0,23.0,1047.0,717.0,5.0
1221.0,28.0,2007.0,8.0,21.0,5.93,2.36,0.13,0.9,9.31,94.0,70.0,81.0,1320.0,717.0,5.0
2306.0,23.0,1994.0,4.0,361.0,4.36,1.71,3.0,0.23,9.3,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
5892.0,28.0,2013.0,3.0,325.0,5.7,2.65,0.02,0.81,9.18,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
349.0,2.0,2012.0,9.0,361.0,2.03,2.36,4.39,0.39,9.16,88.0,70.0,84.0,626.0,1008.0,1.0
5549.0,4.0,2007.0,3.0,361.0,4.4,1.85,1.98,0.68,8.91,72.0,27.0,75.0,85.0,671.0,1.0
9737.0,28.0,2011.0,7.0,66.0,5.05,2.79,0.1,0.85,8.79,96.0,89.0,81.0,3589.0,173.0,5.0
9271.0,23.0,1992.0,6.0,361.0,3.54,1.24,3.81,0.18,8.76,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
2905.0,18.0,2015.0,10.0,139.0,1.12,6.12,0.06,1.28,8.57,82.0,42.0,40.0,896.0,442.0,1.0
3857.0,29.0,2004.0,8.0,325.0,6.82,1.53,0.05,0.08,8.49,95.0,91.0,79.0,1218.0,253.0,5.0
10915.0,26.0,2010.0,3.0,361.0,1.75,3.47,2.49,0.67,8.38,68.0,42.0,71.0,54.0,982.0,1.0
5546.0,26.0,2007.0,3.0,361.0,3.74,2.24,1.58,0.7,8.27,62.0,41.0,60.0,190.0,669.0,1.0
2920.0,17.0,2012.0,0.0,139.0,1.06,5.01,0.13,1.97,8.16,88.0,37.0,63.0,348.0,469.0,1.0
3635.0,10.0,1997.0,8.0,361.0,5.8,2.01,0.13,0.15,8.09,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
7272.0,4.0,2012.0,7.0,361.0,2.79,1.72,3.14,0.41,8.07,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
3144.0,16.0,2001.0,7.0,457.0,2.91,2.07,2.73,0.33,8.05,92.0,53.0,84.0,1056.0,1356.0,7.0
9997.0,13.0,2009.0,9.0,139.0,0.99,6.42,0.0,0.6,8.01,86.0,75.0,73.0,886.0,1470.0,7.0
5519.0,26.0,2007.0,10.0,447.0,2.57,3.86,0.66,0.91,7.99,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
9010.0,18.0,2015.0,8.0,139.0,2.99,3.49,0.22,1.28,7.98,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
3143.0,15.0,1999.0,7.0,468.0,2.28,1.72,3.63,0.23,7.86,90.0,24.0,83.0,644.0,1356.0,7.0
6975.0,0.0,1982.0,5.0,53.0,7.28,0.45,0.0,0.08,7.81,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
7315.0,4.0,2008.0,7.0,361.0,2.76,1.72,2.69,0.54,7.72,83.0,46.0,82.0,203.0,571.0,1.0
3683.0,19.0,2005.0,0.0,496.0,2.9,2.81,0.24,1.73,7.69,88.0,65.0,73.0,451.0,1206.0,5.0
1223.0,18.0,2014.0,8.0,21.0,2.81,3.48,0.14,1.23,7.66,83.0,39.0,54.0,1443.0,1312.0,5.0
9890.0,10.0,1998.0,0.0,361.0,4.1,1.89,1.45,0.16,7.6,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
2906.0,18.0,2016.0,10.0,139.0,0.66,5.75,0.08,1.11,7.59,85.0,41.0,47.0,398.0,445.0,1.0
1651.0,15.0,1997.0,4.0,457.0,3.78,2.17,1.31,0.31,7.58,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
